StationName, StationID
287::"19007 - OURCQ-FLANDRES",19007
288::"19008 - CORENTIN CARIOU",19008
289::"19009 - CITE DES SCIENCES",19009
290::"19010 - PORTE DE LA VILLETTE",19010
291::"19011 - ROUVET DAMPIERRE VERSION 2",19011
292::"19013 - LAUMIERE ET LAUMIERE BIS",19013
293::"19014 - LORRAINE",19014
294::"19015 - THIONVILLE",19015
295::"19016 - OURCQ",19016
296::"19018 - CIT� DE LA MUSIQUE VERSION 2",19018
297::"19019 - PETIT HONNEGER",19019
298::"19020 - MANIN HAUTPOUL",19020
299::"19021 - MAIRIE DU 19 EME",19021
300::"19023 - MANIN SIMON BOLIVAR",19023
301::"19024 - BUTTES CHAUMONT",19024
302::"19026 - DANUBE",19026
303::"19027 - PRE ST GERVAIS VERSION 2",19027
304::"19028 - PLACE DES FETES",19028
305::"19029 - SEINE FLANDRE",19029
306::"19030 - 6 PASSAGE DE MELUN",19030
307::"19033 - CAMBRAI",19033
308::"19034 - PANTIN",19034
309::"19035 - PORTE CHAUMONT",19035
310::"19036 - HOPITAL ROBERT DEBRE",19036
311::"19037 - PORTE DES LILAS",19037
312::"19038 - JOURDAIN",19038
313::"19039 - PAILLERON",19039
314::"19040 - TELEGRAPHE",19040
315::"19041 - PYR�N�ES VERSION 2",19041
316::"19043 - PETITS PONTS",19043
317::"19044 - GRANDS MOULINS",19044
318::"19046 - PORTE DE PANTIN",19046
319::"19101 - SIMON BOLIVAR",19101
320::"19103 - MANIN CARRIERES",19103
321::"19106 - GARE EMGP",19106
322::"19109 - PLACE DU MAROC",19109
323::"19113 - PRE ST GERVAIS",19113
324::"19114 - MANIN SECRETAN",19114
325::"19115 - PORTE DE LA VILLETTE",19115
326::"19116 - JAURES VILLETTE",19116
327::"19117 - EURYALE DEHAYNIN",19117
328::"19120 - ALOUETTES",19120
329::"19121 - BELLEVILLE PRE SAINT GERVAIS",19121
330::"19124 - ALEXANDER FLEMMING",19124
331::"19125 - LEDIT DE NANTES",19125
332::"20001 - PLACE DE LA NATION",20001
333::"20002 - PIXERECOURT",20002
334::"20005 - RUE DE LAGNY SAINT MANDE",20005
335::"20006 - PYR�N�ES - PLAINE",20006
336::"20007 - BUZENVAL",20007
337::"20008 - MARAICHERS",20008
338::"20009 - DOCTEUR DEJERINE",20009
339::"20011 - PYR�N�ES-DAGORNO",20011
340::"20013 - PLACE DE LA REUNION",20013
341::"20014 - ALEXANDRE DUMAS",20014
342::"20015 - BAGNOLET-ORTEAUX",20015
343::"20016 - PYRENEES VITRUVE",20016
344::"20020 - PYRENEES RENOUVIER",20020
345::"20022 - PORTE DE BAGNOLET",20022
346::"20024 - GAMBETTA - P�RE LACHAISE",20024
347::"20025 - GAMBETTA GATINES",20025
348::"20026 - PELLEPORT",20026
349::"20027 - PORTE DE MENILMONTANT",20027
350::"20028 - GAMBETTA MARTIN NADAUD",20028
351::"20029 - PORTE DES LILAS",20029
